Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Norway,2018,1.456,1.582,0.861,0.686,0.286,0.34,7.594
Denmark,2018,1.351,1.59,0.868,0.683,0.284,0.408,7.555
Iceland,2018,1.343,1.644,0.914,0.677,0.353,0.138,7.495
Switzerland,2018,1.42,1.549,0.927,0.66,0.256,0.357,7.487
Netherlands,2018,1.361,1.488,0.878,0.638,0.333,0.295,7.441
Canada,2018,1.33,1.532,0.896,0.653,0.321,0.291,7.328
New Zealand,2018,1.268,1.601,0.876,0.669,0.365,0.389,7.324
Sweden,2018,1.355,1.501,0.913,0.659,0.285,0.383,7.314
Australia,2018,1.34,1.573,0.91,0.647,0.361,0.302,7.272
United Kingdom,2018,1.244,1.433,0.888,0.464,0.262,0.082,7.19
Austria,2018,1.341,1.504,0.891,0.617,0.242,0.224,7.139
Costa Rica,2018,1.01,1.459,0.817,0.632,0.143,0.101,7.072
Ireland,2018,1.448,1.583,0.876,0.614,0.307,0.306,6.977
Germany,2018,1.34,1.474,0.861,0.586,0.273,0.28,6.965
Belgium,2018,1.324,1.483,0.894,0.583,0.188,0.24,6.927
Luxembourg,2018,1.576,1.52,0.896,0.632,0.196,0.321,6.91
United States,2018,1.398,1.471,0.819,0.547,0.291,0.133,6.886
Israel,2018,1.301,1.559,0.883,0.533,0.354,0.272,6.814
United Arab Emirates,2018,2.096,0.776,0.67,0.284,0.186,0.182,6.774
Czech Republic,2018,1.233,1.489,0.854,0.543,0.064,0.034,6.711
Malta,2018,1.27,1.525,0.884,0.645,0.376,0.142,6.627
France,2018,1.293,1.466,0.908,0.52,0.098,0.176,6.489
Mexico,2018,1.038,1.252,0.761,0.479,0.069,0.095,6.488
Chile,2018,1.131,1.331,0.808,0.431,0.197,0.061,6.476
Taiwan,2018,1.365,1.436,0.857,0.418,0.151,0.078,6.441
Panama,2018,1.112,1.438,0.759,0.597,0.125,0.063,6.43
Brazil,2018,0.986,1.474,0.675,0.493,0.11,0.088,6.419
Argentina,2018,1.073,1.468,0.744,0.57,0.062,0.054,6.388
Guatemala,2018,0.781,1.268,0.608,0.604,0.179,0.071,6.382
Uruguay,2018,1.093,1.459,0.771,0.625,0.13,0.155,6.379
Qatar,2018,1.649,1.303,0.748,0.654,0.256,0.171,6.374
Saudi Arabia,2018,1.379,1.331,0.633,0.509,0.098,0.127,6.371
Singapore,2018,1.529,1.451,1.008,0.631,0.261,0.457,6.343
Malaysia,2018,1.161,1.258,0.669,0.356,0.311,0.059,6.322
Spain,2018,1.251,1.538,0.965,0.449,0.142,0.074,6.31
Colombia,2018,0.96,1.439,0.635,0.531,0.099,0.039,6.26
Trinidad & Tobago,2018,1.223,1.492,0.564,0.575,0.171,0.019,6.192
Slovakia,2018,1.21,1.537,0.776,0.354,0.118,0.014,6.173
El Salvador,2018,0.806,1.231,0.639,0.461,0.065,0.082,6.167
Nicaragua,2018,0.668,1.319,0.7,0.527,0.208,0.128,6.141
Poland,2018,1.176,1.448,0.781,0.546,0.108,0.064,6.123
Bahrain,2018,1.338,1.366,0.698,0.594,0.243,0.123,6.105
Uzbekistan,2018,0.719,1.584,0.605,0.724,0.328,0.259,6.096
Kuwait,2018,1.474,1.301,0.675,0.554,0.167,0.106,6.083
Thailand,2018,1.016,1.417,0.707,0.637,0.364,0.029,6.072
Italy,2018,1.264,1.501,0.946,0.281,0.137,0.028,6
Ecuador,2018,0.889,1.33,0.736,0.556,0.114,0.12,5.973
Belize,2018,0.807,1.101,0.474,0.593,0.183,0.089,5.956
Lithuania,2018,1.197,1.527,0.716,0.35,0.026,0.006,5.952
Slovenia,2018,1.219,1.506,0.856,0.633,0.16,0.051,5.948
Romania,2018,1.116,1.219,0.726,0.528,0.088,0.001,5.945
Latvia,2018,1.148,1.454,0.671,0.363,0.092,0.066,5.933
Japan,2018,1.294,1.462,0.988,0.553,0.079,0.15,5.915
Mauritius,2018,1.09,1.387,0.684,0.584,0.245,0.05,5.891
Jamaica,2018,0.819,1.493,0.693,0.575,0.096,0.031,5.89
South Korea,2018,1.266,1.204,0.955,0.244,0.175,0.051,5.875
Northern Cyprus,2018,1.229,1.211,0.909,0.495,0.179,0.154,5.835
Russia,2018,1.151,1.479,0.599,0.399,0.065,0.025,5.81
Kazakhstan,2018,1.143,1.516,0.631,0.454,0.148,0.121,5.79
Cyprus,2018,1.229,1.191,0.909,0.423,0.202,0.035,5.762
Bolivia,2018,0.751,1.223,0.508,0.606,0.141,0.054,5.752
Estonia,2018,1.2,1.532,0.737,0.553,0.086,0.174,5.739
